Sector	X	Y	BufoCalamita	TOT.N	S.RICH	OPEN.L	OLIVE	MONT.S	MONT	POLIC	SHRUB	URBAN	WAT.RES	L.WAT.C	L.D.ROAD	L.P.ROAD	D.WAT.RES	D.WAT.COUR	D.PARK	N.PATCH	P.EDGE	L.SDI
25	258705	244910	11	34	5	3.218	0.000	0.000	93.050	0.000	0.088	0.000	0.000	1.621	1063.040	0.853	1103	253.305	11976.232	18.000	189.848	1.427
26	258694	244412	3	25	5	34.168	0.000	0.000	63.436	0.000	0.020	0.000	0.000	1.023	105.312	1.370	606	34.119	12470.968	17.000	225.701	1.292
27	258684	243912	3	18	7	22.839	0.000	0.000	74.839	0.529	0.087	0.205	0.188	0.357	796.373	0.631	183.804	515.233	12968.285	20.000	198.781	1.528
28	258673	243412	3	14	5	7.258	0.000	0.000	91.077	0.313	0.116	0.061	0.000	0.000	1253.661	0.603	403	825	13465.914	18.000	172.872	1.318
29	258678	242913	0	14	4	8.513	0.000	0.763	89.628	0.063	0.062	0.000	0.000	0.000	960.787	0.609	800	1165	13961.321	15.000	148.174	1.310
30	258792	242426	1	7	5	23.394	0.000	7.134	68.259	0.202	0.000	0.000	0.000	0.007	1104.524	0.605	360	1025	14432.954	15.000	183.528	1.454
31	258911	241941	0	7	4	26.945	0.000	0.000	70.186	0.000	0.000	0.286	0.213	0.878	490.966	1.374	300.158	754.938	14904.995	19.000	194.900	1.438
32	259032	241456	2	17	5	71.436	0.000	0.000	24.350	0.000	0.033	0.000	2.452	0.883	490.706	0.685	681.215	585	15377.983	18.000	156.095	1.507
33	259148	240969	0	10	3	62.203	0.891	1.039	32.348	0.000	0.133	0.519	0.061	1.921	662.081	0.594	774.277	137.112	15854.389	20.000	184.311	1.799
34	259251	240480	1	3	3	82.391	8.037	4.326	2.389	0.000	0.047	0.000	0.000	1.479	664.548	1.075	1056	80.916	16335.936	16.000	186.367	1.611
35	259378	239998	0	6	3	97.574	0.000	0.000	0.000	0.206	0.077	0.000	0.000	1.237	502.525	0.595	1437	35.426	16810.109	15.000	125.232	1.124
36	259622	239562	0	5	3	94.947	0.000	0.000	1.448	0.259	0.182	0.072	0.000	1.898	1150.712	0.676	1178	43	17235.045	19.000	181.545	1.348
37	259846	239117	0	2	1	89.294	0.000	0.000	4.235	0.278	0.067	0.000	0.284	3.951	2224.716	0.684	687	31.01	17673.064	37.000	263.765	1.384
38	259906	238621	0	3	2	68.779	1.125	0.000	24.327	0.812	0.208	0.306	0.579	1.931	2218.570	0.733	367.144	290.029	18167.269	29.000	250.998	1.730
39	259999	238130	0	2	2	62.173	5.055	0.000	28.694	0.030	0.063	0.000	0.215	1.365	1630.394	1.739	471.897	68.496	18656.949	20.000	247.356	1.670
40	260078	237636	0	2	1	67.834	0.021	0.000	29.263	0.018	0.122	0.253	0.000	0.591	2339.396	0.891	800	405	19149.507	27.000	218.266	1.564
41	260136	237140	0	7	4	67.618	0.000	0.000	29.646	0.206	0.038	0.000	0.000	0.868	2192.850	0.730	1240	785	19645.717	19.000	232.237	1.411
42	260193	236643	0	3	3	83.357	0.000	1.455	10.966	0.375	0.095	0.000	0.000	1.198	4584.532	0.652	1032	257	20141.987	36.000	327.476	1.407
43	260178	236144	0	5	4	70.684	6.104	0.000	18.295	0.086	0.000	0.143	0.127	2.334	3775.124	0.668	808.467	118.579	20640.729	33.000	364.819	1.527
44	260133	235647	0	4	2	30.907	1.628	0.000	61.226	0.050	0.020	0.146	0.000	3.525	4141.559	0.645	534	237.041	21138.903	40.000	390.651	1.497
45	260201	235154	0	7	4	26.687	22.757	0.000	38.638	0.060	0.064	7.586	0.198	3.087	1023.062	0.602	197.943	45.832	21631.542	32.000	319.707	1.815
46	260311	234666	2	12	5	9.571	29.752	4.347	44.780	0.000	0.137	6.545	0.473	2.444	2970.299	0.571	663.628	44.744	22119.102	47.000	345.573	1.963
47	260370	234172	2	7	3	26.687	22.757	0.000	38.638	0.060	0.064	7.586	0.198	3.087	3024.304	0.602	955	120.855	22613.647	34.000	329.984	1.805
48	260360	233672	3	14	5	16.478	6.362	1.376	69.984	0.000	0.214	0.033	0.000	3.934	2242.183	0.953	1405	24.313	23113.45	36.000	304.567	1.750
49	260306	233179	1	10	4	26.365	2.002	4.347	63.148	0.000	0.140	0.083	0.000	2.214	4039.803	0.765	1883	178.837	23606.088	41.000	346.394	1.646
50	260071	232739	0	4	3	39.609	17.712	1.796	31.697	0.044	0.622	4.525	0.000	2.122	1583.843	1.578	1730	21.336	24046.886	52.000	408.903	1.904
51	259768	232345	0	11	4	33.511	20.406	0.000	20.496	1.861	0.000	17.523	0.000	1.290	4255.414	2.960	1300	111.764	24444.874	69.000	482.146	1.838
52	259521	231911	0	3	3	24.438	22.472	0.259	32.909	0.151	0.180	14.752	0.319	2.471	1808.924	1.407	992.257	225.514	24884.803	62.000	385.252	1.901
